Région,Préfecture,Sous-préfecture,Nom de l'Établissement (si applicable),Nombre total de personnel de l'Établissement (si applicable) ,Secteur sanitaire,Partenaire responsable de la formation,Date de la formation,Durée de la formation (jours),Type de formation,Nombre de personnes formées,Region p-code,Prefecture p-code,Subprefecture p-code
#adm1+name,#adm2+name,#adm3+name,#loc+name,#inneed+training,#status+sector,#org+code,#date,#output+duration,#output+type,#reached+trained,#adm1+code,#adm2+code,#adm3+code
Conakry,Conakry,Dixinn,CMC Minière,,public,WAHA,,,PCI Ebola,,GIN002,GIN002001,GIN00200101
Conakry,Conakry,Dixinn,CMC Minière,,public,WAHA,,,PCI Ebola,,GIN002,GIN002001,GIN00200101
Conakry,Conakry,Kaloum,Hôpital National Ignace Deen,,public,WAHA,,,PCI Ebola,,GIN002,GIN002001,GIN00200102
Conakry,Conakry,Kaloum,Hôpital National Ignace Deen,,public,WAHA,,,Triage,,GIN002,GIN002001,GIN00200102
Kindia,Forecariah,Forecariah Ctre,Hôpital Préfectoral Forécariah Centre,,public,WAHA,,,,,GIN005,GIN005003,GIN00500304
Boke,Boffa,,CS Isle Kito,,public,ACF,2015-05-02,,PCI Ebola,,GIN001,GIN001001,
Boke,Boffa,Boffa Ctre,,,public,ACF,2015-05-02,,PCI Ebola,,GIN001,GIN001001,GIN00100101
Boke,Boffa,Boffa Ctre,Bolonde,,public,ACF,2015-05-02,,PCI Ebola,,GIN001,GIN001001,GIN00100101
Boke,Boffa,Boffa Ctre,Centre de Santé Boffa Centre,,public,ACF,2015-05-02,,PCI Ebola,,GIN001,GIN001001,GIN00100101
Boke,Boffa,Boffa Ctre,Centre de Santé Boffa Centre,,public,ACF,2015-05-02,,WASH,,GIN001,GIN001001,GIN00100101
Boke,Boffa,Boffa Ctre,Hopital Préfectoral Boffa,,public,ACF,2015-05-02,,PCI Ebola,,GIN001,GIN001001,GIN00100101
Boke,Boffa,Boffa Ctre,Lakhata,,public,ACF,2015-05-02,,PCI Ebola,,GIN001,GIN001001,GIN00100101
Boke,Boffa,Boffa Ctre,Lonking,,public,ACF,2015-05-02,,PCI Ebola,,GIN001,GIN001001,GIN00100101
Boke,Boffa,Douprou,Bilnsadé,,public,ACF,2015-05-02,,PCI Ebola,,GIN001,GIN001001,GIN00100102
Boke,Boffa,Douprou,Douprou,,public,ACF,2015-05-02,,PCI Ebola,,GIN001,GIN001001,GIN00100102
Boke,Boffa,Douprou,Douprou,,public,ACF,2015-05-02,,WASH,,GIN001,GIN001001,GIN00100102
Boke,Boffa,Douprou,Koumbaya,,public,ACF,2015-05-02,,PCI Ebola,,GIN001,GIN001001,GIN00100102
Boke,Boffa,Koba,Kottèya,,public,ACF,2015-05-02,,PCI Ebola,,GIN001,GIN001001,
Boke,Boffa,Koba,M'Bendia,,public,ACF,2015-05-02,,PCI Ebola,,GIN001,GIN001001,
Boke,Boffa,Koba,Moussaya,,public,ACF,2015-05-02,,PCI Ebola,,GIN001,GIN001001,
Boke,Boffa,Koba,Tatéma,,public,ACF,2015-05-02,,PCI Ebola,,GIN001,GIN001001,
Boke,Boffa,Koba,Tatéma,,public,ACF,2015-05-02,,WASH,,GIN001,GIN001001,
Boke,Boffa,Koba,Tatéma,,public,ACF,2015-05-02,,PCI Ebola,,GIN001,GIN001001,
Boke,Boffa,Kolia,Colia,,public,ACF,2015-05-02,,PCI Ebola,,GIN001,GIN001001,GIN00100104
Boke,Boffa,Kolia,Colia,,public,ACF,2015-05-02,,WASH,,GIN001,GIN001001,GIN00100104
Boke,Boffa,Kolia,Diougouma,,public,ACF,2015-05-02,,PCI Ebola,,GIN001,GIN001001,GIN00100104
Boke,Boffa,Kolia,N'Dantari Centre,,public,ACF,2015-05-02,,PCI Ebola,,GIN001,GIN001001,GIN00100104
Boke,Boffa,Lisso,Bondy,,public,ACF,2015-05-02,,PCI Ebola,,GIN001,GIN001001,GIN00100105
Boke,Boffa,Lisso,Khatia,,public,ACF,2015-05-02,,PCI Ebola,,GIN001,GIN001001,GIN00100105
Boke,Boffa,Lisso,Lisso Centre,,public,ACF,2015-05-02,,PCI Ebola,,GIN001,GIN001001,GIN00100105
Boke,Boffa,Lisso,Lisso Centre,,public,ACF,2015-05-02,,WASH,,GIN001,GIN001001,GIN00100105
Boke,Boffa,Lisso,Missira,,public,ACF,2015-05-02,,PCI Ebola,,GIN001,GIN001001,GIN00100105
Boke,Boffa,Lisso,Wondetty,,public,ACF,2015-05-02,,PCI Ebola,,GIN001,GIN001001,GIN00100105
Boke,Boffa,Mankountan,Kakala,,public,ACF,2015-05-02,,PCI Ebola,,GIN001,GIN001001,GIN00100106
Boke,Boffa,Mankountan,Mankountan,,public,ACF,2015-05-02,,PCI Ebola,,GIN001,GIN001001,GIN00100106
Boke,Boffa,Mankountan,Mankountan,,public,ACF,2015-05-02,,WASH,,GIN001,GIN001001,GIN00100106
Boke,Boffa,Tamita,Corrérah Centre,,public,ACF,2015-05-02,,PCI Ebola,,GIN001,GIN001001,GIN00100107
Boke,Boffa,Tamita,Fallandjan,,public,ACF,2015-05-02,,PCI Ebola,,GIN001,GIN001001,GIN00100107
Boke,Boffa,Tamita,Gbassaya Centre,,public,ACF,2015-05-02,,PCI Ebola,,GIN001,GIN001001,GIN00100107
Boke,Boffa,Tamita,Tamita,,public,ACF,2015-05-02,,PCI Ebola,,GIN001,GIN001001,GIN00100107
Boke,Boffa,Tamita,Tamita,,public,ACF,2015-05-02,,WASH,,GIN001,GIN001001,GIN00100107
Boke,Boffa,Tamita,Yènguissa Centre,,public,ACF,2015-05-02,,PCI Ebola,,GIN001,GIN001001,GIN00100107
Boke,Boffa,Tougnifily,Mamiah Centre,,public,ACF,2015-05-02,,PCI Ebola,,GIN001,GIN001001,GIN00100108
Boke,Boffa,Tougnifily,Tougnifily,,public,ACF,2015-05-02,,PCI Ebola,,GIN001,GIN001001,GIN00100108
Boke,Boffa,Tougnifily,Tougnifily,,public,ACF,2015-05-02,,WASH,,GIN001,GIN001001,GIN00100108
Kindia,Forecariah,Allassoyah,Dandayah,,public,ACF,,,WASH,,GIN005,GIN005003,GIN00500301
